Starting frame generation loop
Converter Running
Time:0.0, Sine:1.0 | Time:0.0, Rand:250.0
Time:0.036, Sine:0.9745268821716309 | Time:0.036, Rand:286.0
Time:0.037, Sine:0.9730985164642334 | Time:0.037, Rand:287.0
Time:0.038, Sine:0.9716317057609558 | Time:0.038, Rand:288.0
Time:0.039, Sine:0.9701265692710876 | Time:0.039, Rand:289.0
Time:0.04, Sine:0.9685831665992737 | Time:0.04, Rand:290.0
Time:0.041, Sine:0.9670014977455139 | Time:0.041, Rand:291.0
Time:0.042, Sine:0.9653816223144531 | Time:0.042, Rand:292.0
Time:0.043, Sine:0.9637236595153809 | Time:0.043, Rand:293.0
Time:0.044, Sine:0.9620276689529419 | Time:0.044, Rand:294.0
Time:0.045, Sine:0.960293710231781 | Time:0.045, Rand:295.0
Time:0.046, Sine:0.9585217833518982 | Time:0.046, Rand:296.0
Time:0.047, Sine:0.9567120671272278 | Time:0.047, Rand:297.0
Time:0.048, Sine:0.9548645615577698 | Time:0.048, Rand:298.0
Time:0.049, Sine:0.952979326248169 | Time:0.049, Rand:299.0
Time:0.05, Sine:0.9510565400123596 | Time:0.05, Rand:300.0
Time:0.051, Sine:0.949096143245697 | Time:0.051, Rand:301.0
Time:0.052, Sine:0.9470983147621155 | Time:0.052, Rand:302.0
Time:0.053, Sine:0.945063054561615 | Time:0.053, Rand:303.0
Time:0.054, Sine:0.9429905414581299 | Time:0.054, Rand:304.0
Time:0.055, Sine:0.9408807754516602 | Time:0.055, Rand:305.0
Time:0.056, Sine:0.9387338757514954 | Time:0.056, Rand:306.0
Time:0.057, Sine:0.9365499019622803 | Time:0.057, Rand:307.0
Time:0.058, Sine:0.9343289136886597 | Time:0.058, Rand:308.0
Time:0.059, Sine:0.9320710897445679 | Time:0.059, Rand:309.0
Time:0.06, Sine:0.9297764897346497 | Time:0.06, Rand:310.0
Time:0.061, Sine:0.9274451732635498 | Time:0.061, Rand:311.0
Time:0.062, Sine:0.9250771999359131 | Time:0.062, Rand:312.0
Time:0.063, Sine:0.9226727485656738 | Time:0.063, Rand:313.0
Time:0.064, Sine:0.920231819152832 | Time:0.064, Rand:314.0
Time:0.065, Sine:0.9177546501159668 | Time:0.065, Rand:315.0
Time:0.066, Sine:0.9152411818504333 | Time:0.066, Rand:316.0
Time:0.067, Sine:0.912691593170166 | Time:0.067, Rand:317.0
Time:0.068, Sine:0.9101059436798096 | Time:0.068, Rand:318.0
Time:0.069, Sine:0.9074844121932983 | Time:0.069, Rand:319.0
Time:0.07, Sine:0.9048270583152771 | Time:0.07, Rand:320.0
Time:0.071, Sine:0.9021339416503906 | Time:0.071, Rand:321.0
Time:0.072, Sine:0.8994052410125732 | Time:0.072, Rand:322.0
Time:0.073, Sine:0.8966410160064697 | Time:0.073, Rand:323.0
Time:0.074, Sine:0.8938414454460144 | Time:0.074, Rand:324.0
Time:0.075, Sine:0.8910065293312073 | Time:0.075, Rand:325.0
Time:0.076, Sine:0.8881364464759827 | Time:0.076, Rand:326.0
Time:0.077, Sine:0.8852313160896301 | Time:0.077, Rand:327.0
Time:0.078, Sine:0.8822911977767944 | Time:0.078, Rand:328.0
Time:0.079, Sine:0.8793163299560547 | Time:0.079, Rand:329.0
Time:0.08, Sine:0.8763066530227661 | Time:0.08, Rand:330.0
Time:0.081, Sine:0.8732624650001526 | Time:0.081, Rand:331.0
Time:0.082, Sine:0.8701837658882141 | Time:0.082, Rand:332.0
Time:0.083, Sine:0.8670706748962402 | Time:0.083, Rand:333.0
Time:0.084, Sine:0.8639234304428101 | Time:0.084, Rand:334.0
Time:0.085, Sine:0.8607420325279236 | Time:0.085, Rand:335.0
Time:0.086, Sine:0.8575266599655151 | Time:0.086, Rand:336.0
Time:0.087, Sine:0.8542774319648743 | Time:0.087, Rand:337.0
Time:0.088, Sine:0.8509944677352905 | Time:0.088, Rand:338.0
Time:0.089, Sine:0.8476779460906982 | Time:0.089, Rand:339.0
Time:0.09, Sine:0.8443279266357422 | Time:0.09, Rand:340.0
Time:0.091, Sine:0.8409445881843567 | Time:0.091, Rand:341.0
Time:0.092, Sine:0.8375280499458313 | Time:0.092, Rand:342.0
Time:0.093, Sine:0.8340784311294556 | Time:0.093, Rand:343.0
Time:0.094, Sine:0.8305959105491638 | Time:0.094, Rand:344.0
Time:0.095, Sine:0.8270805478096008 | Time:0.095, Rand:345.0
Time:0.096, Sine:0.8235325813293457 | Time:0.096, Rand:346.0
Time:0.097, Sine:0.819952130317688 | Time:0.097, Rand:347.0
Time:0.098, Sine:0.8163392543792725 | Time:0.098, Rand:348.0
Time:0.099, Sine:0.8126941919326782 | Time:0.099, Rand:349.0
Time:0.1, Sine:0.80901700258255 | Time:0.1, Rand:350.0
Time:0.101, Sine:0.8053078651428223 | Time:0.101, Rand:351.0
Time:0.102, Sine:0.8015669584274292 | Time:0.102, Rand:352.0
Time:0.103, Sine:0.7977944612503052 | Time:0.103, Rand:353.0
Time:0.104, Sine:0.7939903736114502 | Time:0.104, Rand:354.0
Time:0.105, Sine:0.7901549935340881 | Time:0.105, Rand:355.0
Time:0.106, Sine:0.7862884402275085 | Time:0.106, Rand:356.0
Time:0.107, Sine:0.782390832901001 | Time:0.107, Rand:357.0
Time:0.108, Sine:0.778462290763855 | Time:0.108, Rand:358.0
Time:0.109, Sine:0.7745030522346497 | Time:0.109, Rand:359.0
Time:0.11, Sine:0.7705132365226746 | Time:0.11, Rand:360.0
Time:0.111, Sine:0.766493022441864 | Time:0.111, Rand:361.0
Time:0.112, Sine:0.7624425292015076 | Time:0.112, Rand:362.0
Time:0.113, Sine:0.7583619356155396 | Time:0.113, Rand:363.0
Time:0.114, Sine:0.7542513608932495 | Time:0.114, Rand:364.0
Time:0.115, Sine:0.7501110434532166 | Time:0.115, Rand:365.0
Time:0.116, Sine:0.745941162109375 | Time:0.116, Rand:366.0
Time:0.117, Sine:0.7417417764663696 | Time:0.117, Rand:367.0
Time:0.118, Sine:0.7375131249427795 | Time:0.118, Rand:368.0
Time:0.119, Sine:0.7332553267478943 | Time:0.119, Rand:369.0
Time:0.12, Sine:0.728968620300293 | Time:0.12, Rand:370.0
Time:0.121, Sine:0.7246531248092651 | Time:0.121, Rand:371.0
Time:0.122, Sine:0.7203090190887451 | Time:0.122, Rand:372.0
Time:0.123, Sine:0.7159364819526672 | Time:0.123, Rand:373.0
Time:0.124, Sine:0.7115356922149658 | Time:0.124, Rand:374.0
Time:0.125, Sine:0.7071067690849304 | Time:0.125, Rand:375.0
Time:0.126, Sine:0.7026499509811401 | Time:0.126, Rand:376.0
Time:0.127, Sine:0.6981654167175293 | Time:0.127, Rand:377.0
Time:0.128, Sine:0.6936532855033875 | Time:0.128, Rand:378.0
Time:0.129, Sine:0.6891137957572937 | Time:0.129, Rand:379.0
Time:0.13, Sine:0.6845471262931824 | Time:0.13, Rand:380.0
Time:0.131, Sine:0.679953396320343 | Time:0.131, Rand:381.0
Time:0.132, Sine:0.67533278465271 | Time:0.132, Rand:382.0
Time:0.133, Sine:0.6706855893135071 | Time:0.133, Rand:383.0
Time:0.134, Sine:0.6660118699073792 | Time:0.134, Rand:384.0
Time:0.135, Sine:0.6613118648529053 | Time:0.135, Rand:385.0
Time:0.136, Sine:0.6565857529640198 | Time:0.136, Rand:386.0
Time:0.137, Sine:0.651833713054657 | Time:0.137, Rand:387.0
Time:0.138, Sine:0.647055983543396 | Time:0.138, Rand:388.0
Time:0.139, Sine:0.6422526240348816 | Time:0.139, Rand:389.0
Time:0.14, Sine:0.6374239921569824 | Time:0.14, Rand:390.0
Time:0.141, Sine:0.6325701475143433 | Time:0.141, Rand:391.0
Time:0.142, Sine:0.627691388130188 | Time:0.142, Rand:392.0
Time:0.143, Sine:0.6227877736091614 | Time:0.143, Rand:393.0
Time:0.144, Sine:0.6178596019744873 | Time:0.144, Rand:394.0
Time:0.145, Sine:0.6129070520401001 | Time:0.145, Rand:395.0
Time:0.146, Sine:0.6079303026199341 | Time:0.146, Rand:396.0
Time:0.147, Sine:0.6029295325279236 | Time:0.147, Rand:397.0
Time:0.148, Sine:0.5979049801826477 | Time:0.148, Rand:398.0
Time:0.149, Sine:0.5928568243980408 | Time:0.149, Rand:399.0
Time:0.15, Sine:0.5877852439880371 | Time:0.15, Rand:400.0
Time:0.151, Sine:0.5826904773712158 | Time:0.151, Rand:401.0
Time:0.152, Sine:0.5775727033615112 | Time:0.152, Rand:402.0
Time:0.153, Sine:0.5724321007728577 | Time:0.153, Rand:403.0
Time:0.154, Sine:0.567268967628479 | Time:0.154, Rand:404.0
Time:0.155, Sine:0.56208336353302 | Time:0.155, Rand:405.0
Time:0.156, Sine:0.5568756461143494 | Time:0.156, Rand:406.0
Time:0.157, Sine:0.5516458749771118 | Time:0.157, Rand:407.0
Time:0.158, Sine:0.5463943481445312 | Time:0.158, Rand:408.0
Time:0.159, Sine:0.541121244430542 | Time:0.159, Rand:409.0
Time:0.16, Sine:0.5358268022537231 | Time:0.16, Rand:410.0
Time:0.161, Sine:0.530511200428009 | Time:0.161, Rand:411.0
Time:0.162, Sine:0.525174617767334 | Time:0.162, Rand:412.0
Time:0.163, Sine:0.5198173522949219 | Time:0.163, Rand:413.0
Time:0.164, Sine:0.5144395232200623 | Time:0.164, Rand:414.0
Time:0.165, Sine:0.509041428565979 | Time:0.165, Rand:415.0
Time:0.166, Sine:0.5036231875419617 | Time:0.166, Rand:416.0
Time:0.167, Sine:0.49818509817123413 | Time:0.167, Rand:417.0
Time:0.168, Sine:0.4927273392677307 | Time:0.168, Rand:418.0
Time:0.169, Sine:0.48725011944770813 | Time:0.169, Rand:419.0
Time:0.17, Sine:0.4817536771297455 | Time:0.17, Rand:420.0
Time:0.171, Sine:0.4762381911277771 | Time:0.171, Rand:421.0
Time:0.172, Sine:0.47070392966270447 | Time:0.172, Rand:422.0
Time:0.173, Sine:0.4651510715484619 | Time:0.173, Rand:423.0
Time:0.174, Sine:0.45957985520362854 | Time:0.174, Rand:424.0
Time:0.175, Sine:0.45399048924446106 | Time:0.175, Rand:425.0
Time:0.176, Sine:0.4483832120895386 | Time:0.176, Rand:426.0
Time:0.177, Sine:0.4427582323551178 | Time:0.177, Rand:427.0
Time:0.178, Sine:0.43711575865745544 | Time:0.178, Rand:428.0
Time:0.179, Sine:0.431456059217453 | Time:0.179, Rand:429.0
Time:0.18, Sine:0.4257792830467224 | Time:0.18, Rand:430.0
Time:0.181, Sine:0.42008572816848755 | Time:0.181, Rand:431.0
Time:0.182, Sine:0.41437557339668274 | Time:0.182, Rand:432.0
Time:0.183, Sine:0.4086490869522095 | Time:0.183, Rand:433.0
Time:0.184, Sine:0.4029064476490021 | Time:0.184, Rand:434.0
Time:0.185, Sine:0.39714789390563965 | Time:0.185, Rand:435.0
Time:0.186, Sine:0.3913736641407013 | Time:0.186, Rand:436.0
Time:0.187, Sine:0.3855839967727661 | Time:0.187, Rand:437.0
Time:0.188, Sine:0.3797791004180908 | Time:0.188, Rand:438.0
Time:0.189, Sine:0.3739592134952545 | Time:0.189, Rand:439.0
Time:0.19, Sine:0.3681245446205139 | Time:0.19, Rand:440.0
Time:0.191, Sine:0.3622753620147705 | Time:0.191, Rand:441.0
Time:0.192, Sine:0.356411874294281 | Time:0.192, Rand:442.0
Time:0.193, Sine:0.3505343198776245 | Time:0.193, Rand:443.0
Time:0.194, Sine:0.3446429371833801 | Time:0.194, Rand:444.0
Time:0.195, Sine:0.33873793482780457 | Time:0.195, Rand:445.0
Time:0.196, Sine:0.33281955122947693 | Time:0.196, Rand:446.0
Time:0.197, Sine:0.3268880248069763 | Time:0.197, Rand:447.0
Time:0.198, Sine:0.3209436237812042 | Time:0.198, Rand:448.0
Time:0.199, Sine:0.31498652696609497 | Time:0.199, Rand:449.0
Time:0.2, Sine:0.30901700258255005 | Time:0.2, Rand:450.0
Time:0.201, Sine:0.30303525924682617 | Time:0.201, Rand:451.0
Time:0.202, Sine:0.2970415949821472 | Time:0.202, Rand:452.0
Time:0.203, Sine:0.2910361588001251 | Time:0.203, Rand:453.0
Time:0.204, Sine:0.28501924872398376 | Time:0.204, Rand:454.0
Time:0.205, Sine:0.27899110317230225 | Time:0.205, Rand:455.0
Time:0.206, Sine:0.2729519307613373 | Time:0.206, Rand:456.0
Time:0.207, Sine:0.26690199971199036 | Time:0.207, Rand:457.0
Time:0.208, Sine:0.2608415186405182 | Time:0.208, Rand:458.0
Time:0.209, Sine:0.2547707259654999 | Time:0.209, Rand:459.0
Time:0.21, Sine:0.24868988990783691 | Time:0.21, Rand:460.0
Time:0.211, Sine:0.2425992339849472 | Time:0.211, Rand:461.0
Time:0.212, Sine:0.23649899661540985 | Time:0.212, Rand:462.0
Time:0.213, Sine:0.23038943111896515 | Time:0.213, Rand:463.0
Time:0.214, Sine:0.224270761013031 | Time:0.214, Rand:464.0
Time:0.215, Sine:0.21814323961734772 | Time:0.215, Rand:465.0
Time:0.216, Sine:0.21200710535049438 | Time:0.216, Rand:466.0
Time:0.217, Sine:0.2058626115322113 | Time:0.217, Rand:467.0
Time:0.218, Sine:0.19970998167991638 | Time:0.218, Rand:468.0
Time:0.219, Sine:0.19354946911334991 | Time:0.219, Rand:469.0
Time:0.22, Sine:0.187381312251091 | Time:0.22, Rand:470.0
Time:0.221, Sine:0.18120576441287994 | Time:0.221, Rand:471.0
Time:0.222, Sine:0.17502306401729584 | Time:0.222, Rand:472.0
Time:0.223, Sine:0.16883344948291779 | Time:0.223, Rand:473.0
Time:0.224, Sine:0.1626371592283249 | Time:0.224, Rand:474.0
Time:0.225, Sine:0.15643446147441864 | Time:0.225, Rand:475.0
Time:0.226, Sine:0.15022559463977814 | Time:0.226, Rand:476.0
Time:0.227, Sine:0.1440107822418213 | Time:0.227, Rand:477.0
Time:0.228, Sine:0.13779029250144958 | Time:0.228, Rand:478.0
Time:0.229, Sine:0.13156436383724213 | Time:0.229, Rand:479.0
Time:0.23, Sine:0.12533323466777802 | Time:0.23, Rand:480.0
Time:0.231, Sine:0.11909715831279755 | Time:0.231, Rand:481.0
Time:0.232, Sine:0.11285638809204102 | Time:0.232, Rand:482.0
Time:0.233, Sine:0.10661115497350693 | Time:0.233, Rand:483.0
Time:0.234, Sine:0.10036171227693558 | Time:0.234, Rand:484.0
Time:0.235, Sine:0.09410831332206726 | Time:0.235, Rand:485.0
Time:0.236, Sine:0.08785119652748108 | Time:0.236, Rand:486.0
Time:0.237, Sine:0.08159061521291733 | Time:0.237, Rand:487.0
Time:0.238, Sine:0.07532680779695511 | Time:0.238, Rand:488.0
Time:0.239, Sine:0.06906002759933472 | Time:0.239, Rand:489.0
Time:0.24, Sine:0.06279052048921585 | Time:0.24, Rand:490.0
Time:0.241, Sine:0.05651853606104851 | Time:0.241, Rand:491.0
Time:0.242, Sine:0.05024431645870209 | Time:0.242, Rand:492.0
Time:0.243, Sine:0.043968118727207184 | Time:0.243, Rand:493.0
Time:0.244, Sine:0.0376901812851429 | Time:0.244, Rand:494.0
Time:0.245, Sine:0.03141075745224953 | Time:0.245, Rand:495.0
Time:0.246, Sine:0.025130094960331917 | Time:0.246, Rand:496.0
Time:0.247, Sine:0.018848439678549767 | Time:0.247, Rand:497.0
Time:0.248, Sine:0.012566040270030499 | Time:0.248, Rand:498.0
Time:0.249, Sine:0.006283144000917673 | Time:0.249, Rand:499.0
Time:0.25, Sine:1.2246468525851679e-16 | Time:0.25, Rand:500.0
Time:0.251, Sine:-0.006283144000917673 | Time:0.251, Rand:501.0
Time:0.252, Sine:-0.012566040270030499 | Time:0.252, Rand:502.0
Time:0.253, Sine:-0.018848439678549767 | Time:0.253, Rand:503.0
Time:0.254, Sine:-0.025130094960331917 | Time:0.254, Rand:504.0
Time:0.255, Sine:-0.03141075745224953 | Time:0.255, Rand:505.0
Time:0.256, Sine:-0.0376901812851429 | Time:0.256, Rand:506.0
Time:0.257, Sine:-0.043968118727207184 | Time:0.257, Rand:507.0
Time:0.258, Sine:-0.05024431645870209 | Time:0.258, Rand:508.0
Time:0.259, Sine:-0.05651853606104851 | Time:0.259, Rand:509.0
Time:0.26, Sine:-0.06279052048921585 | Time:0.26, Rand:510.0
Time:0.261, Sine:-0.06906002759933472 | Time:0.261, Rand:511.0
Time:0.262, Sine:-0.07532680779695511 | Time:0.262, Rand:512.0
Time:0.263, Sine:-0.08159061521291733 | Time:0.263, Rand:513.0
Time:0.264, Sine:-0.08785119652748108 | Time:0.264, Rand:514.0
Time:0.265, Sine:-0.09410831332206726 | Time:0.265, Rand:515.0
Time:0.266, Sine:-0.10036171227693558 | Time:0.266, Rand:516.0
Time:0.267, Sine:-0.10661115497350693 | Time:0.267, Rand:517.0
Time:0.268, Sine:-0.11285638809204102 | Time:0.268, Rand:518.0
Time:0.269, Sine:-0.11909715831279755 | Time:0.269, Rand:519.0
Time:0.27, Sine:-0.12533323466777802 | Time:0.27, Rand:520.0
Time:0.271, Sine:-0.13156436383724213 | Time:0.271, Rand:521.0
Time:0.272, Sine:-0.13779029250144958 | Time:0.272, Rand:522.0
Time:0.273, Sine:-0.1440107822418213 | Time:0.273, Rand:523.0
Time:0.274, Sine:-0.15022559463977814 | Time:0.274, Rand:524.0
Time:0.275, Sine:-0.15643446147441864 | Time:0.275, Rand:525.0
Time:0.276, Sine:-0.1626371592283249 | Time:0.276, Rand:526.0
Time:0.277, Sine:-0.16883344948291779 | Time:0.277, Rand:527.0
Time:0.278, Sine:-0.17502306401729584 | Time:0.278, Rand:528.0
Time:0.279, Sine:-0.18120576441287994 | Time:0.279, Rand:529.0
Time:0.28, Sine:-0.187381312251091 | Time:0.28, Rand:530.0
Time:0.281, Sine:-0.19354946911334991 | Time:0.281, Rand:531.0
Time:0.282, Sine:-0.19970998167991638 | Time:0.282, Rand:532.0
Time:0.283, Sine:-0.2058626115322113 | Time:0.283, Rand:533.0
Time:0.284, Sine:-0.21200710535049438 | Time:0.284, Rand:534.0
Time:0.285, Sine:-0.21814323961734772 | Time:0.285, Rand:535.0
Time:0.286, Sine:-0.224270761013031 | Time:0.286, Rand:536.0
Time:0.287, Sine:-0.23038943111896515 | Time:0.287, Rand:537.0
Time:0.288, Sine:-0.23649899661540985 | Time:0.288, Rand:538.0
Time:0.289, Sine:-0.2425992339849472 | Time:0.289, Rand:539.0
Time:0.29, Sine:-0.24868988990783691 | Time:0.29, Rand:540.0
Time:0.291, Sine:-0.2547707259654999 | Time:0.291, Rand:541.0
Time:0.292, Sine:-0.2608415186405182 | Time:0.292, Rand:542.0
Time:0.293, Sine:-0.26690199971199036 | Time:0.293, Rand:543.0
Time:0.294, Sine:-0.2729519307613373 | Time:0.294, Rand:544.0
Time:0.295, Sine:-0.27899110317230225 | Time:0.295, Rand:545.0
Time:0.296, Sine:-0.28501924872398376 | Time:0.296, Rand:546.0
Time:0.297, Sine:-0.2910361588001251 | Time:0.297, Rand:547.0
Time:0.298, Sine:-0.2970415949821472 | Time:0.298, Rand:548.0
Time:0.299, Sine:-0.30303525924682617 | Time:0.299, Rand:549.0
Time:0.3, Sine:-0.30901700258255005 | Time:0.3, Rand:550.0
Time:0.301, Sine:-0.31498652696609497 | Time:0.301, Rand:551.0
Time:0.302, Sine:-0.3209436237812042 | Time:0.302, Rand:552.0
Time:0.303, Sine:-0.3268880248069763 | Time:0.303, Rand:553.0
Time:0.304, Sine:-0.33281955122947693 | Time:0.304, Rand:554.0
Time:0.305, Sine:-0.33873793482780457 | Time:0.305, Rand:555.0
Time:0.306, Sine:-0.3446429371833801 | Time:0.306, Rand:556.0
Time:0.307, Sine:-0.3505343198776245 | Time:0.307, Rand:557.0
Time:0.308, Sine:-0.356411874294281 | Time:0.308, Rand:558.0
Time:0.309, Sine:-0.3622753620147705 | Time:0.309, Rand:559.0
Time:0.31, Sine:-0.3681245446205139 | Time:0.31, Rand:560.0
Time:0.311, Sine:-0.3739592134952545 | Time:0.311, Rand:561.0
Time:0.312, Sine:-0.3797791004180908 | Time:0.312, Rand:562.0
Time:0.313, Sine:-0.3855839967727661 | Time:0.313, Rand:563.0
Time:0.314, Sine:-0.3913736641407013 | Time:0.314, Rand:564.0
Time:0.315, Sine:-0.39714789390563965 | Time:0.315, Rand:565.0
Time:0.316, Sine:-0.4029064476490021 | Time:0.316, Rand:566.0
Time:0.317, Sine:-0.4086490869522095 | Time:0.317, Rand:567.0
Time:0.318, Sine:-0.41437557339668274 | Time:0.318, Rand:568.0
Time:0.319, Sine:-0.42008572816848755 | Time:0.319, Rand:569.0
Time:0.32, Sine:-0.4257792830467224 | Time:0.32, Rand:570.0
Time:0.321, Sine:-0.431456059217453 | Time:0.321, Rand:571.0
Time:0.322, Sine:-0.43711575865745544 | Time:0.322, Rand:572.0
Time:0.323, Sine:-0.4427582323551178 | Time:0.323, Rand:573.0
Time:0.324, Sine:-0.4483832120895386 | Time:0.324, Rand:574.0
Time:0.325, Sine:-0.45399048924446106 | Time:0.325, Rand:575.0
Time:0.326, Sine:-0.45957985520362854 | Time:0.326, Rand:576.0
Time:0.327, Sine:-0.4651510715484619 | Time:0.327, Rand:577.0
Time:0.328, Sine:-0.47070392966270447 | Time:0.328, Rand:578.0
Time:0.329, Sine:-0.4762381911277771 | Time:0.329, Rand:579.0
Time:0.33, Sine:-0.4817536771297455 | Time:0.33, Rand:580.0
Time:0.331, Sine:-0.48725011944770813 | Time:0.331, Rand:581.0
Time:0.332, Sine:-0.4927273392677307 | Time:0.332, Rand:582.0
Time:0.333, Sine:-0.49818509817123413 | Time:0.333, Rand:583.0
Time:0.334, Sine:-0.5036231875419617 | Time:0.334, Rand:584.0
Time:0.335, Sine:-0.509041428565979 | Time:0.335, Rand:585.0
Time:0.336, Sine:-0.5144395232200623 | Time:0.336, Rand:586.0
Time:0.337, Sine:-0.5198173522949219 | Time:0.337, Rand:587.0
Time:0.338, Sine:-0.525174617767334 | Time:0.338, Rand:588.0
Time:0.339, Sine:-0.530511200428009 | Time:0.339, Rand:589.0
Time:0.34, Sine:-0.5358268022537231 | Time:0.34, Rand:590.0
Time:0.341, Sine:-0.541121244430542 | Time:0.341, Rand:591.0
Time:0.342, Sine:-0.5463943481445312 | Time:0.342, Rand:592.0
Time:0.343, Sine:-0.5516458749771118 | Time:0.343, Rand:593.0
Time:0.344, Sine:-0.5568756461143494 | Time:0.344, Rand:594.0
Time:0.345, Sine:-0.56208336353302 | Time:0.345, Rand:595.0
Time:0.346, Sine:-0.567268967628479 | Time:0.346, Rand:596.0
Time:0.347, Sine:-0.5724321007728577 | Time:0.347, Rand:597.0
Time:0.348, Sine:-0.5775727033615112 | Time:0.348, Rand:598.0
Time:0.349, Sine:-0.5826904773712158 | Time:0.349, Rand:599.0
Time:0.35, Sine:-0.5877852439880371 | Time:0.35, Rand:600.0
Time:0.351, Sine:-0.5928568243980408 | Time:0.351, Rand:601.0
Time:0.352, Sine:-0.5979049801826477 | Time:0.352, Rand:602.0
Time:0.353, Sine:-0.6029295325279236 | Time:0.353, Rand:603.0
Time:0.354, Sine:-0.6079303026199341 | Time:0.354, Rand:604.0
Time:0.355, Sine:-0.6129070520401001 | Time:0.355, Rand:605.0
Time:0.356, Sine:-0.6178596019744873 | Time:0.356, Rand:606.0
Time:0.357, Sine:-0.6227877736091614 | Time:0.357, Rand:607.0
Time:0.358, Sine:-0.627691388130188 | Time:0.358, Rand:608.0
Time:0.359, Sine:-0.6325701475143433 | Time:0.359, Rand:609.0
Time:0.36, Sine:-0.6374239921569824 | Time:0.36, Rand:610.0
Time:0.361, Sine:-0.6422526240348816 | Time:0.361, Rand:611.0
Time:0.362, Sine:-0.647055983543396 | Time:0.362, Rand:612.0
Time:0.363, Sine:-0.651833713054657 | Time:0.363, Rand:613.0
Time:0.364, Sine:-0.6565857529640198 | Time:0.364, Rand:614.0
Time:0.365, Sine:-0.6613118648529053 | Time:0.365, Rand:615.0
Time:0.366, Sine:-0.6660118699073792 | Time:0.366, Rand:616.0
Time:0.367, Sine:-0.6706855893135071 | Time:0.367, Rand:617.0
Time:0.368, Sine:-0.67533278465271 | Time:0.368, Rand:618.0
Time:0.369, Sine:-0.679953396320343 | Time:0.369, Rand:619.0
Time:0.37, Sine:-0.6845471262931824 | Time:0.37, Rand:620.0
Time:0.371, Sine:-0.6891137957572937 | Time:0.371, Rand:621.0
Time:0.372, Sine:-0.6936532855033875 | Time:0.372, Rand:622.0
Time:0.373, Sine:-0.6981654167175293 | Time:0.373, Rand:623.0
Time:0.374, Sine:-0.7026499509811401 | Time:0.374, Rand:624.0
Time:0.375, Sine:-0.7071067690849304 | Time:0.375, Rand:625.0
Time:0.376, Sine:-0.7115356922149658 | Time:0.376, Rand:626.0
Time:0.377, Sine:-0.7159364819526672 | Time:0.377, Rand:627.0
Time:0.378, Sine:-0.7203090190887451 | Time:0.378, Rand:628.0
Time:0.379, Sine:-0.7246531248092651 | Time:0.379, Rand:629.0
Time:0.38, Sine:-0.728968620300293 | Time:0.38, Rand:630.0
Time:0.381, Sine:-0.7332553267478943 | Time:0.381, Rand:631.0
Time:0.382, Sine:-0.7375131249427795 | Time:0.382, Rand:632.0
Time:0.383, Sine:-0.7417417764663696 | Time:0.383, Rand:633.0
